T,R,F
14,2,0
94,4,0
174,5,0
254,6,0
334,4,0
414,4,0
494,4,0
574,5,0
654,4,0
734,5,0
814,8,0
894,12,0
975,22,17
1055,36,56
1135,48,76
1215,47,70
1295,27,50
1375,6,20
1455,-20,-4
1535,-63,-34
1615,-26,-155
1695,55,-254
1775,-13,-116
1855,-23,20
1942,-8,146
2015,-2,293
2095,0,415
2175,2,337
2255,5,-127
2335,6,-762
2415,6,-1032
2495,6,-541
2575,5,464
2655,4,1156
2735,1,981
2814,-1,0
2893,2,0
2973,5,0
3054,3,0
3133,3,0
3213,3,0
3293,3,0
3373,2,0
3453,1,0
3533,2,0
3613,2,0
3693,4,0
3773,4,0
3853,6,0
3942,5,0
4013,5,0
4093,4,0
4173,2,0
4253,1,0
4333,3,0
4413,5,0
4493,3,0
4573,3,0
4653,4,0
4733,2,0
4813,1,0
4893,7,0
4974,16,-1085
5054,16,-1303
5134,7,-395
5214,-1,598
5294,-10,797
5374,-12,329
5454,-5,-128
5534,0,-210
5614,2,-93
5694,1,-85
5774,-6,-164
5854,-10,-87
5943,-7,170
6013,-3,0
6093,2,0
6173,4,0
6253,3,0
6333,5,0
6413,5,0
6493,7,0
6573,10,0
6653,5,0
6733,1,0
6813,7,0
6893,9,0
6973,8,0
7053,9,0
7133,6,0
7213,4,0
7293,4,0
7373,5,0
7453,5,0
7533,5,0
7693,3,0
7773,5,0
7853,5,0
7942,6,0
8013,6,0
8093,6,0
8173,6,0
8253,5,0
8333,4,0
8413,4,0
8493,3,0
8573,3,0
8653,5,0
8732,7,0
8812,6,0
8892,6,0
8972,8,0
9053,7,0
9132,7,0
9212,7,0
9292,8,0
9372,8,0
9453,7,0
9532,7,0
9612,6,0
9692,6,0
9772,5,0
9852,4,0
9942,4,0
10012,4,0
10092,5,0
10172,5,0
10253,5,0
10332,5,0
10412,4,0
10492,3,0
10572,1,0
10652,2,0
10732,3,0
10812,4,0
10892,5,0
10972,5,0
11052,4,0
11132,4,0
11212,4,0
11292,4,0
11372,3,0
11452,2,0
11532,3,0
11612,6,0
11692,9,0
11772,9,0
11852,8,0
11942,7,0
12012,4,0
12092,3,0
12172,3,0
12252,3,0
12332,3,0
12412,5,0
12492,5,0
12572,4,0
12652,3,0
12732,2,0
12812,2,0
12892,2,0
12972,5,0
13052,8,0
13132,10,0
13212,12,0
13292,10,0
13372,2,0
13452,-5,0
13532,-11,0
13612,-10,0
13692,-9,0
13772,-6,0
13852,1,0
13941,9,0
14013,28,372
14093,73,296
14173,63,151
14253,-21,2
14333,-66,-223
14413,-98,-396
14493,-60,-417
14573,-18,-211
14653,-12,28
14733,-4,50
14813,1,26
14893,3,300
14973,4,852
15053,2,1026
15133,3,167
15212,5,-1336
15292,5,-2139
15372,5,-1293
15453,6,589
15531,6,0
15611,5,0
15691,2,0
15771,3,0
15851,7,0
15942,6,0
16011,4,0
16091,5,0
16171,7,0
16251,7,0
16331,6,0
16411,7,0
16491,5,0
16571,3,0
16651,3,0
16731,2,0
16811,3,0
16891,5,0
16971,7,0
17051,8,0
17131,7,0
17211,6,0
17291,5,0
17371,4,0
17451,4,0
17531,5,0
17611,7,0
17691,7,0
17771,9,0
17942,5,0
18011,2,0
18091,4,0
18171,7,0
18251,7,0
18331,6,0
18411,4,0
18491,2,0
18571,4,0
18651,7,0
18731,10,0
18811,8,0
18891,4,0
18971,7,0
19051,10,0
19131,9,0
19211,9,0
19291,7,0
19371,7,0
19451,8,0
19531,7,0
19611,6,0
19691,8,0
19771,8,0
19851,9,0
19941,7,0
20011,6,0
